# Liste aller Normdaten-Eigenschaften {.unnumbered}

Die folgende Liste enthält alle in Wikidata vorhandenen [Normdaten-Eigenschaften](#normdaten-eigenschaften-in-wikidata) zum Zeitpunkt der Erstellung dieses Handbuchs. Der Begriff Normdaten (siehe [Einführung in Normdaten](#einführung-in-normdaten)) ist dabei etwas weiter gefasst. Aufgenommen sind alle Wikidata-Eigenschaften zum Verweisen mittels ID oder Notation auf externe Datenquellen. Als Grundlage wurden die Wikidata-Tools [Reasonator](http://meta.wikimedia.org/wiki/Reasonator/stringprops) und [AuthorityControl-Gadget](http://www.wikidata.org/wiki/MediaWiki:Gadget-AuthorityControl.js) herangezogen.

id | Name | Beschreibung
[`P1015`](https://www.wikidata.org/wiki/Property:P1015) | BIBSYS | Normdatei des norwegischen Bibliotheksdienstes
[`P1017`](https://www.wikidata.org/wiki/Property:P1017) | BAV (Vatikan) | Normdatei der Vatikanischen Apostolischen Bibliothek (lat. "Bibliotheca Apostolica Vaticana")
[`P1024`](https://www.wikidata.org/wiki/Property:P1024) | *SBFI occupation code* | 
[`P1025`](https://www.wikidata.org/wiki/Property:P1025) | SUDOC Editionen | Eintrag im französischen Verbundkatalog für Bücher und andere Medien (s. auch P269)
[`P1036`](https://www.wikidata.org/wiki/Property:P1036) | DDC | Klassifikation für die inhaltliche Erschließung (Verwendung mit dem Qualifikator P747: Ausgabe)
[`P1042`](https://www.wikidata.org/wiki/Property:P1042) | ZDB-ID | Datensatz der Zeitschriftendatenbank
[`P1043`](https://www.wikidata.org/wiki/Property:P1043) | IDEO Job ID | 
[`P1044`](https://www.wikidata.org/wiki/Property:P1044) | SWB Online-Katalog | Link zum Katalog des Südwestdeutschen Bibliotheksverbundes
[`P1045`](https://www.wikidata.org/wiki/Property:P1045) | Sycomore-ID | Identifikationsummer einer Person in der Sycomore-Datenbank der französischen Nationalversammlung
[`P1047`](https://www.wikidata.org/wiki/Property:P1047) | Katholische-Hierarchie-ID | ID einer Person auf  catholic-hierarchy.org
[`P1048`](https://www.wikidata.org/wiki/Property:P1048) | NCL (Taiwan) | Normdateneintrag in der Nationalbibliothek Taiwans (National Central Library)
[`P1051`](https://www.wikidata.org/wiki/Property:P1051) | PSH-ID | Identifikator für die Datenbank der Tschechischen Technischen Bibliothek
[`P1053`](https://www.wikidata.org/wiki/Property:P1053) | ResearcherID | 
[`P1054`](https://www.wikidata.org/wiki/Property:P1054) | NDL Editionen | Katalogeintrag in der Nationalen Parlamentsbibliothek (NDL) Japans für Bücher und andere Medien (s. auch P349)
[`P1055`](https://www.wikidata.org/wiki/Property:P1055) | NLM-ID | Katalog der US-amerikanischen Medizinischen Nationalbibliothek (NLM)
[`P1058`](https://www.wikidata.org/wiki/Property:P1058) | ERA-Journal-ID | 
[`P1059`](https://www.wikidata.org/wiki/Property:P1059) | CVR | Nummer im dänischen Centrale Virksomhedsregister für Organisationen
[`P1067`](https://www.wikidata.org/wiki/Property:P1067) | thailändische Verwaltungsstrukturkennziffer | numerischer Code der Verwaltungseinheiten Thailands
[`P1070`](https://www.wikidata.org/wiki/Property:P1070) | PlantList-ID | Identifikator für den wissenschaftlichen Namen eines Taxons in der Datenbank „The Plant List“
[`P1076`](https://www.wikidata.org/wiki/Property:P1076) | ICTV-ID | Identifikator des Virus beim International Committee on Taxonomy of Viruses
[`P1077`](https://www.wikidata.org/wiki/Property:P1077) | KOATUU-Schlüssel | Schlüssel zur Klassifizierung administrativer Objekte der Ukraine
[`P1084`](https://www.wikidata.org/wiki/Property:P1084) | EUL Katalog | Verbundkatalog der ägyptischen Universitätsbibliotheken
[`P1085`](https://www.wikidata.org/wiki/Property:P1085) | LibraryThing-Werk-ID | numerische Buch-Kennung des gleichnamigen Literaturverwaltungsprogramms
[`P1115`](https://www.wikidata.org/wiki/Property:P1115) | ATVK-ID | Identifikator für Verwaltungseinheiten in Lettland
[`P1133`](https://www.wikidata.org/wiki/Property:P1133) | DGO4-Nummer | 
[`P1138`](https://www.wikidata.org/wiki/Property:P1138) | Kunstindex Danmark | 
[`P1144`](https://www.wikidata.org/wiki/Property:P1144) | LoC Editionen | Katalogeintrag in der Library of Congress (LoC) für Bücher und andere Medien (s. auch P244)
[`P1146`](https://www.wikidata.org/wiki/Property:P1146) | IAAF-ID | 
[`P1150`](https://www.wikidata.org/wiki/Property:P1150) | RVK-Notation | Klassifikation für die inhaltliche Erschließung
[`P1153`](https://www.wikidata.org/wiki/Property:P1153) | Scopus-Autor-ID | 
[`P1156`](https://www.wikidata.org/wiki/Property:P1156) | Scopus-Quelle-ID | 
[`P1159`](https://www.wikidata.org/wiki/Property:P1159) | CODEN | CODEN bibliographischer Code
[`P1160`](https://www.wikidata.org/wiki/Property:P1160) | ISO 4 Abkürzung | ISO 4 bibliographischer Code (Abkürzung), der 1972 eingeführt wurde
[`P1182`](https://www.wikidata.org/wiki/Property:P1182) | LIBRIS Editionen | ID für Objekte im Libris Katalog über spezifische Bücher
[`P1184`](https://www.wikidata.org/wiki/Property:P1184) | Handle | Handle System Kennzeichner (Obermenge des DOI)
[`P1185`](https://www.wikidata.org/wiki/Property:P1185) | Rodovid-ID | Personen ID auf der Webseite rodovid.org
[`P1190`](https://www.wikidata.org/wiki/Property:P1190) | Universelle Dezimalklassifikation | Klassifikation für die inhaltliche Erschließung
[`P1207`](https://www.wikidata.org/wiki/Property:P1207) | NUKAT Normdaten | Normdateneintrag im polnischen Verbundkatalog NUKAT
[`P1212`](https://www.wikidata.org/wiki/Property:P1212) | Atlas ID | ID in der Atlas Datenbank des Louvre Museums
[`P1216`](https://www.wikidata.org/wiki/Property:P1216) | Listennummer der Organisation für Denkmalschutz in England | Nummer in der Liste der Gebäude
[`P1220`](https://www.wikidata.org/wiki/Property:P1220) | Internet Broadway Database Personen ID | Internet Broadway Database Kennzeichner
[`P1222`](https://www.wikidata.org/wiki/Property:P1222) | NARA-Personen-ID | 
[`P1223`](https://www.wikidata.org/wiki/Property:P1223) | NARA-Organisationen-ID | 
[`P1224`](https://www.wikidata.org/wiki/Property:P1224) | NARA-Geographikum-ID | 
[`P1225`](https://www.wikidata.org/wiki/Property:P1225) | NARA Fachgebiets-ID | 
[`P1226`](https://www.wikidata.org/wiki/Property:P1226) | NARA Spezifischer Dokumententyp ID | 
[`P1229`](https://www.wikidata.org/wiki/Property:P1229) | Openpolis-ID | ID in Openpolis, eine Datenbank über italienische Politiker
[`P1231`](https://www.wikidata.org/wiki/Property:P1231) | NARA Katalogdatensatz ID | Eindeutiger Kennzeichner für Katalogdatensätze
[`P1232`](https://www.wikidata.org/wiki/Property:P1232) | Linguist Listencode | 
[`P1237`](https://www.wikidata.org/wiki/Property:P1237) | Box Office Mojo Film ID | ID für einen Film auf der Webseite Box Office Mojo
[`P1238`](https://www.wikidata.org/wiki/Property:P1238) | Schwedische Fußballassoziation ID | Datenbank über schwedische Fußballspieler
[`P1245`](https://www.wikidata.org/wiki/Property:P1245) | Bedeutungsdefinition in OmegaWiki | "DefinedMeaning"-Kennzeichnungsnummer in OmegaWiki
[`P1250`](https://www.wikidata.org/wiki/Property:P1250) | Dänischer Bibliometrischer Forschungsindikator (BFI) SNO/CNO | 
[`P1256`](https://www.wikidata.org/wiki/Property:P1256) | Iconclass ID | Kennung des ikonographischen Themas
[`P1258`](https://www.wikidata.org/wiki/Property:P1258) | Rotten Tomatoes ID | ID in Rotten Tomatoes, Präfix "m/" für Filme, "tv/" für TV Serien und "celebrity/" für berühmte Personen
[`P1273`](https://www.wikidata.org/wiki/Property:P1273) | CANTIC | 
[`P1284`](https://www.wikidata.org/wiki/Property:P1284) | Munzinger Personen | Internationales Biographisches Archiv im Verlag Munzinger-Archiv
[`P1285`](https://www.wikidata.org/wiki/Property:P1285) | Munzinger Sport | Internationales Sportarchiv im Verlag Munzinger-Archiv
[`P1286`](https://www.wikidata.org/wiki/Property:P1286) | Munzinger Pop | Pop-Archiv International im Verlag Munzinger-Archiv
[`P1287`](https://www.wikidata.org/wiki/Property:P1287) | Komponisten der Gegenwart | 
[`P1288`](https://www.wikidata.org/wiki/Property:P1288) | Kritisches Lexikon der Gegenwartsliteratur | 
[`P1289`](https://www.wikidata.org/wiki/Property:P1289) | Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur | 
